Movie,Genre,Year,Rating,Watched_On,Duration,Director,Lead_Actor,Language,Rewatch
Movie 323,Action,2022.0,3.8,Blu-ray,163.0,Director 135,Actor 124,Spanish,No
Movie 324,Romance,1983.0,3.8,,84.0,Director 175,Actor 294,French,No
,Sci-Fi,2000.0,,Netflix,121.0,Director 16,Actor 143,Hindi,No
Movie 326,Sci-Fi,1997.0,9.4,Blu-ray,95.0,Director 167,Actor 282,Hindi,Yes
Movie 327,Romance,2022.0,6.6,Hulu,92.0,Director 10,Actor 199,Hindi,No
Movie 328,Documentary,1983.0,1.8,Amazon Prime,85.0,Director 29,Actor 8,English,Yes
Movie 329,Romance,1996.0,7.7,Blu-ray,132.0,Director 184,Actor 250,English,No
Movie 330,Drama,1988.0,6.8,Disney+,125.0,Director 170,Actor 95,French,No
Movie 331,Documentary,,5.3,Disney+,127.0,Director 46,Actor 136,Korean,No
Movie 332,Sci-Fi,2012.0,8.2,Netflix,109.0,Director 11,Actor 254,Korean,Yes
Movie 333,Sci-Fi,2003.0,8.3,Disney+,95.0,Director 37,Actor 30,Spanish,Yes
,Sci-Fi,2002.0,5.2,YouTube,,Director 196,Actor 195,Spanish,
Movie 335,Action,,1.9,Amazon Prime,165.0,Director 163,Actor 137,Spanish,No
Movie 336,Horror,2017.0,3.6,Blu-ray,135.0,Director 52,Actor 167,English,Yes
Movie 337,Romance,1983.0,2.2,TV,169.0,Director 44,Actor 136,,
Movie 338,Romance,2015.0,,Disney+,81.0,Director 161,,English,Yes
Movie 339,Romance,1980.0,,Hulu,122.0,Director 124,Actor 189,French,
Movie 340,Sci-Fi,1985.0,3.8,YouTube,91.0,Director 40,Actor 187,,Yes
Movie 341,Thriller,1997.0,3.1,TV,,Director 13,Actor 143,Korean,Yes
Movie 342,Thriller,2003.0,7.1,TV,,Director 103,Actor 182,English,Yes
Movie 343,Romance,2015.0,2.1,TV,90.0,Director 159,Actor 165,French,No
Movie 344,Thriller,1998.0,,Hulu,144.0,Director 22,Actor 18,Korean,Yes
,Comedy,2016.0,1.0,Blu-ray,119.0,Director 94,Actor 245,Korean,
Movie 346,Comedy,2000.0,2.0,Disney+,168.0,Director 183,Actor 246,Hindi,
Movie 347,Thriller,1993.0,4.1,Amazon Prime,109.0,Director 176,Actor 88,Spanish,Yes
Movie 348,,2018.0,4.6,Hulu,144.0,Director 100,Actor 151,French,No
Movie 349,Drama,1999.0,,TV,,Director 19,Actor 153,,
Movie 350,Thriller,1988.0,1.6,TV,,Director 149,Actor 50,,
Movie 351,Thriller,2011.0,5.0,YouTube,97.0,Director 42,Actor 293,Hindi,No
Movie 352,Sci-Fi,1986.0,,Netflix,125.0,Director 25,Actor 47,Spanish,Yes
,Action,2009.0,8.3,TV,133.0,Director 179,,English,
Movie 354,Horror,,2.8,Disney+,93.0,Director 126,Actor 67,English,Yes
Movie 355,Thriller,2009.0,7.5,Blu-ray,162.0,Director 178,Actor 111,Korean,Yes
Movie 356,Thriller,2023.0,7.6,YouTube,155.0,Director 79,Actor 127,Spanish,No
Movie 357,Romance,2006.0,9.2,TV,149.0,Director 76,Actor 260,English,No
Movie 358,Drama,2007.0,9.0,Netflix,105.0,Director 43,Actor 260,English,No
Movie 359,Drama,,1.3,TV,82.0,,Actor 153,French,No
Movie 360,Thriller,1999.0,4.1,Blu-ray,156.0,,Actor 47,,No
Movie 361,Drama,1992.0,5.3,Amazon Prime,179.0,Director 162,Actor 46,English,Yes
Movie 362,Horror,2017.0,3.5,Amazon Prime,179.0,Director 91,Actor 263,,Yes
,Comedy,2012.0,5.1,TV,92.0,Director 153,Actor 176,Spanish,Yes
Movie 364,Sci-Fi,2002.0,2.3,Disney+,136.0,Director 110,Actor 112,English,Yes
Movie 365,Comedy,,4.1,Disney+,165.0,Director 88,Actor 239,French,Yes
,Action,,3.1,Disney+,120.0,Director 5,,Korean,Yes
Movie 367,Drama,,7.1,Netflix,171.0,Director 111,Actor 215,Korean,No
,Thriller,2018.0,3.4,Blu-ray,169.0,,Actor 239,English,No
Movie 369,Thriller,1997.0,7.3,YouTube,95.0,,Actor 154,Hindi,No
Movie 370,Drama,1986.0,5.1,,99.0,Director 189,Actor 268,Korean,No
Movie 371,Sci-Fi,,7.8,YouTube,106.0,Director 146,,French,No
,Horror,1989.0,8.9,Hulu,126.0,Director 122,Actor 17,,Yes
Movie 373,Action,2008.0,8.3,TV,,Director 47,Actor 49,Spanish,No
Movie 374,Comedy,1982.0,,,152.0,Director 77,,,Yes
Movie 375,Comedy,2023.0,3.0,Disney+,,Director 154,Actor 158,French,No
Movie 376,Documentary,2021.0,6.3,Disney+,,Director 97,,Hindi,No
Movie 377,Sci-Fi,1982.0,8.1,Disney+,110.0,Director 191,Actor 169,French,No
Movie 378,Romance,2020.0,9.8,Hulu,137.0,Director 179,Actor 149,Korean,Yes
Movie 379,Action,,9.2,,94.0,Director 55,Actor 150,,Yes
Movie 380,Documentary,2013.0,5.0,YouTube,106.0,Director 61,Actor 59,Spanish,No
Movie 381,Romance,2011.0,2.8,Amazon Prime,118.0,,,Hindi,Yes
Movie 382,Action,1984.0,4.0,Disney+,177.0,,Actor 167,French,No
Movie 383,Horror,,1.9,Blu-ray,134.0,Director 188,Actor 232,English,
Movie 384,,1983.0,5.4,Netflix,123.0,Director 179,Actor 31,English,No
Movie 385,Sci-Fi,2012.0,3.8,YouTube,,Director 109,Actor 241,English,
Movie 386,Documentary,2014.0,2.3,Hulu,180.0,Director 17,Actor 291,French,Yes
Movie 387,Horror,1994.0,9.4,Blu-ray,117.0,Director 154,Actor 237,Hindi,No
Movie 388,Thriller,1990.0,,Blu-ray,113.0,Director 157,Actor 290,Hindi,Yes
Movie 389,Comedy,2020.0,,Hulu,165.0,Director 17,Actor 222,French,No
Movie 390,Documentary,1992.0,8.8,YouTube,95.0,Director 196,,Hindi,Yes
Movie 391,Thriller,1981.0,4.7,Netflix,99.0,Director 124,Actor 27,Spanish,No
Movie 392,Documentary,2007.0,1.2,Amazon Prime,170.0,Director 18,Actor 83,French,No
Movie 393,Drama,2002.0,,YouTube,140.0,Director 136,Actor 54,Korean,Yes
Movie 394,Sci-Fi,2007.0,,TV,,Director 185,Actor 221,Spanish,No
Movie 395,Action,1998.0,8.8,,163.0,Director 25,Actor 254,Spanish,No
Movie 396,Sci-Fi,2016.0,8.3,Amazon Prime,95.0,Director 7,Actor 227,Korean,Yes
Movie 397,Horror,1997.0,9.8,Disney+,156.0,Director 102,Actor 228,English,No
Movie 398,Sci-Fi,1994.0,,Amazon Prime,99.0,Director 57,Actor 117,English,No
Movie 399,Action,2018.0,8.2,Disney+,113.0,Director 58,Actor 229,Hindi,Yes
Movie 400,Sci-Fi,1980.0,3.1,Netflix,132.0,Director 196,Actor 177,English,No
Movie 401,Drama,1991.0,5.1,Disney+,85.0,Director 43,Actor 18,English,No
Movie 402,Thriller,2012.0,9.8,Amazon Prime,177.0,Director 71,Actor 258,Hindi,Yes
Movie 403,Documentary,2006.0,8.0,Hulu,136.0,,Actor 197,English,Yes
Movie 404,Action,2023.0,5.8,Disney+,93.0,Director 133,,Spanish,Yes
,Documentary,2000.0,8.3,Disney+,172.0,Director 48,Actor 33,French,No
Movie 406,,2000.0,5.2,Hulu,,Director 68,Actor 23,Korean,No
Movie 407,Documentary,1994.0,5.7,,85.0,Director 138,Actor 123,French,Yes
Movie 408,Drama,1986.0,4.5,Netflix,135.0,Director 183,,Korean,No
Movie 409,Action,2016.0,6.8,Disney+,158.0,Director 96,Actor 212,Korean,Yes
Movie 410,Horror,2008.0,7.2,Disney+,132.0,Director 182,Actor 81,Spanish,Yes
Movie 411,Horror,2005.0,2.7,Disney+,115.0,Director 180,Actor 210,French,Yes
Movie 412,Action,1982.0,2.1,Netflix,174.0,,Actor 1,Spanish,No
Movie 413,Drama,2005.0,9.8,Hulu,148.0,Director 72,Actor 284,Korean,No
Movie 414,Thriller,1998.0,6.1,YouTube,153.0,Director 198,Actor 279,Spanish,No
Movie 415,Drama,1995.0,7.2,Disney+,113.0,,,Korean,No
Movie 416,Drama,2004.0,6.4,Hulu,,Director 24,Actor 226,French,No
Movie 417,Sci-Fi,1990.0,2.1,Amazon Prime,129.0,Director 139,Actor 178,English,Yes
,Documentary,1988.0,4.9,TV,138.0,Director 177,Actor 142,Hindi,Yes
Movie 419,Action,,1.9,Netflix,97.0,Director 10,Actor 70,,Yes
Movie 420,Action,2003.0,2.7,Netflix,157.0,Director 95,Actor 85,,Yes
,Sci-Fi,1986.0,2.3,Disney+,167.0,Director 23,Actor 30,English,No
Movie 422,Drama,2005.0,7.8,YouTube,144.0,Director 130,Actor 237,Hindi,Yes
Movie 423,Thriller,1983.0,2.5,Blu-ray,91.0,Director 89,Actor 84,French,No
Movie 424,Sci-Fi,1986.0,2.7,Netflix,95.0,Director 59,Actor 211,Spanish,No
Movie 425,Sci-Fi,1980.0,8.6,Disney+,110.0,Director 72,Actor 298,Korean,No
Movie 426,Thriller,2011.0,4.7,Netflix,161.0,Director 11,Actor 21,Spanish,Yes
Movie 427,Horror,1996.0,7.8,Amazon Prime,81.0,Director 111,,French,Yes
Movie 428,Documentary,,6.4,,119.0,,Actor 93,Hindi,Yes
Movie 429,Comedy,1984.0,3.6,Disney+,125.0,Director 146,Actor 116,Korean,Yes
Movie 430,Horror,2017.0,,,136.0,Director 148,Actor 151,Hindi,Yes
,Horror,2022.0,1.5,YouTube,149.0,Director 7,Actor 164,Hindi,Yes
Movie 432,Sci-Fi,1997.0,5.3,Hulu,120.0,Director 92,Actor 28,Spanish,Yes
Movie 433,Documentary,1981.0,5.4,,89.0,Director 41,Actor 182,Hindi,Yes
Movie 434,Romance,1994.0,4.0,TV,123.0,Director 195,Actor 43,Korean,No
,,2006.0,5.3,,150.0,Director 102,Actor 81,French,No
Movie 436,Drama,2018.0,9.0,Disney+,131.0,Director 138,Actor 283,Spanish,No
Movie 437,Sci-Fi,1982.0,5.0,YouTube,159.0,Director 122,Actor 78,Spanish,No
Movie 438,Comedy,2001.0,,Blu-ray,115.0,Director 8,Actor 179,,Yes
Movie 439,Action,2013.0,3.5,Amazon Prime,128.0,Director 43,Actor 75,French,No
Movie 440,Documentary,2021.0,5.7,Netflix,142.0,Director 178,,Hindi,
Movie 441,Comedy,2005.0,4.9,Amazon Prime,173.0,Director 101,Actor 224,Spanish,Yes
Movie 442,Drama,1990.0,9.4,Netflix,102.0,Director 82,Actor 183,Hindi,Yes
Movie 443,,2003.0,4.7,Hulu,91.0,,Actor 87,French,No
Movie 444,Sci-Fi,1983.0,1.8,TV,,Director 139,Actor 153,Spanish,Yes
Movie 445,Comedy,1989.0,2.4,Netflix,94.0,Director 12,Actor 102,French,Yes
Movie 446,Thriller,2024.0,8.1,Disney+,145.0,Director 21,Actor 289,Korean,Yes
,,1984.0,4.4,Netflix,135.0,Director 78,,Korean,Yes
Movie 448,Drama,2011.0,4.2,,105.0,Director 36,Actor 263,Hindi,No
Movie 449,Horror,,2.0,Blu-ray,130.0,Director 5,,Korean,Yes
Movie 450,Sci-Fi,2002.0,9.2,Amazon Prime,126.0,Director 144,Actor 57,,Yes
Movie 451,Romance,1989.0,5.8,Amazon Prime,92.0,Director 120,Actor 72,Hindi,Yes
Movie 452,Romance,2009.0,8.9,YouTube,154.0,Director 48,Actor 219,French,
Movie 453,Romance,1983.0,4.3,Hulu,103.0,Director 42,Actor 63,Korean,Yes
Movie 454,Comedy,2018.0,,Disney+,112.0,Director 149,Actor 92,French,No
Movie 455,,1994.0,10.0,,97.0,Director 170,Actor 254,Korean,No
Movie 456,Documentary,2017.0,2.4,Netflix,106.0,,Actor 96,Hindi,No
Movie 457,Comedy,2017.0,6.4,Blu-ray,102.0,Director 126,,Hindi,Yes
Movie 458,Romance,2005.0,4.0,TV,156.0,Director 183,Actor 76,Spanish,No
Movie 459,Horror,1998.0,4.6,Netflix,166.0,Director 15,Actor 186,Hindi,
Movie 460,Documentary,,5.1,YouTube,136.0,,Actor 298,English,Yes
Movie 461,Thriller,1993.0,,Blu-ray,120.0,Director 73,Actor 121,Spanish,Yes
Movie 462,Sci-Fi,2019.0,4.1,Amazon Prime,80.0,Director 56,,English,Yes
Movie 463,Drama,1987.0,9.9,Netflix,148.0,Director 194,Actor 15,French,
Movie 464,Romance,2022.0,6.0,Amazon Prime,96.0,Director 156,Actor 42,Korean,No
Movie 465,Comedy,1982.0,5.2,,118.0,Director 21,Actor 116,Spanish,Yes
Movie 466,Comedy,1998.0,4.3,YouTube,85.0,Director 36,,Hindi,
,Comedy,2017.0,9.9,Amazon Prime,94.0,Director 150,Actor 6,Korean,No
,Drama,2011.0,2.5,YouTube,160.0,Director 149,Actor 240,Hindi,Yes
Movie 469,Action,2008.0,3.6,Disney+,,Director 183,Actor 293,Spanish,
Movie 470,Comedy,2018.0,6.2,Netflix,127.0,Director 75,Actor 225,French,
Movie 471,Comedy,,3.8,TV,169.0,Director 72,Actor 175,Korean,Yes
Movie 472,,1991.0,,Blu-ray,129.0,Director 26,Actor 185,Hindi,No
Movie 473,Sci-Fi,2004.0,8.4,TV,136.0,Director 79,Actor 49,English,No
Movie 474,Documentary,1993.0,,Amazon Prime,99.0,Director 187,Actor 259,Korean,No
,Sci-Fi,2000.0,6.6,Hulu,176.0,Director 39,Actor 3,French,Yes
,Comedy,2011.0,1.4,Disney+,180.0,Director 132,Actor 127,French,No
Movie 477,Documentary,2003.0,6.8,Hulu,136.0,Director 93,Actor 146,Hindi,Yes
Movie 478,Comedy,2021.0,,Amazon Prime,140.0,Director 152,Actor 124,,Yes
Movie 479,Drama,2020.0,6.3,Amazon Prime,128.0,Director 111,Actor 65,,No
Movie 480,,1996.0,,Netflix,132.0,Director 159,Actor 273,Korean,Yes
Movie 481,,2014.0,3.6,TV,180.0,Director 152,,French,Yes
Movie 482,Comedy,1989.0,6.6,Hulu,,,Actor 138,English,Yes
Movie 483,Drama,2001.0,8.5,Netflix,,Director 124,Actor 142,,Yes
Movie 484,Comedy,2012.0,7.1,Netflix,164.0,Director 13,Actor 252,Spanish,Yes
Movie 485,Thriller,2006.0,7.4,,81.0,Director 8,Actor 225,Hindi,No
Movie 486,Romance,,3.3,Hulu,85.0,,Actor 279,Korean,No
Movie 487,,2004.0,6.0,YouTube,80.0,,Actor 217,French,Yes
Movie 488,Comedy,2000.0,5.1,YouTube,135.0,Director 156,Actor 107,,No
Movie 489,,2007.0,7.8,Amazon Prime,116.0,,Actor 213,Korean,No
Movie 490,Sci-Fi,1987.0,9.2,,99.0,Director 27,Actor 4,Korean,Yes
Movie 491,Drama,2020.0,4.8,Disney+,115.0,Director 63,Actor 90,Hindi,No
,Comedy,1981.0,1.7,,144.0,Director 59,,Korean,
Movie 493,Comedy,1998.0,,Netflix,90.0,Director 51,Actor 2,English,
Movie 494,,1998.0,4.2,Blu-ray,145.0,Director 200,Actor 39,French,No
Movie 495,Action,2006.0,2.1,Amazon Prime,166.0,,Actor 2,Korean,Yes
Movie 496,,,2.0,Netflix,122.0,,Actor 30,English,No
Movie 497,Romance,1988.0,2.5,Amazon Prime,153.0,Director 198,Actor 90,English,No
Movie 498,Action,,3.0,Disney+,85.0,Director 34,,Spanish,No
Movie 499,Action,1999.0,1.5,Blu-ray,135.0,Director 127,Actor 180,Korean,Yes
Movie 500,Drama,1992.0,5.1,Hulu,154.0,Director 44,Actor 150,Korean,No
